categories,descriptions,names
"['7', '4']",שני אחים - נוכל ואב גרוש - מתבשרים שחוות המשפחה שלהם עומדת בפני פשיטת רגל. הם יוצאים למסע של שוד בנקים במטרה להציל את העסק המשפחתי. שוטר ותיק עולה על עקבותיהם ונלחם להביא אותם לדין,באש ובמים
"['16', '2']","דוב הקוטב נורם מחזיק יכולת נדירה: הוא יכול לדבר עם בני אדם. כאשר ורה, מנהלת שיווק נדל""ן אמיצה מגיעה לאזור מחייתו של נורם כדי לצלם פרסומת טלוויזיה למכירת בתי יוקרה באזור, נורם יודע שהוא צריך לעשות משהו כדי להציל את ביתו מידיו של הבוס של- מר גרין. בעידוד המ ...  המשך ...",נורם בעיר הגדולה (מדובב)
"['7', '4']","שודד ותיק מגלה שצו הוצא על ראשו בעולם התחתון. הוא מחליט להפעיל את ביטוח החיים שלו למען בתו הצעירה, אך מגלה שהביטוח ייכנס לפועל רק לאחר 21 ימים. כשהעבריינים מאיימים לפגוע ישירות בבתו, הוא והיא יוצאים למסע הימלטות",במנוסה
"['4', '14', '9']","רובי היא רקדנית מתחילה מדרום ארה""ב שזכתה במלגה ועברה להתגורר בניו יורק. ג'וני הוא מוזיקאי בריטי שמתפרנס מלנגן לעוברים ושבים ברכבת התחתית. המפגש בין שני העולמות המנוגדים של ג'וני ורובי מניב כימיה מפתיעה, ומקרב לא רק בין הגישות השונות שלהם למוזיקה, אלא גם ב ...  המשך ...",מתח גבוה
['4'],"המשך לסרט הקלאסי משנת 1996 בהשתתפות שחקני הסרט המקורי והבמאי דני בויל. עשרים שנה חלפו ומארק רנטון חוזר אל המקום היחיד שהוא יכול לקרוא לו בית, שם מחכים לו: ספאד, סיק בוי ובגבי. עוד חברים ותיקים שמחכים לו הם: צער, אובדן, שמחה, נקמה, שנאה, ידידות, אהבה, געגו ...  המשך ...",טריינספוטינג 2
"['7', '3']","עיבוד לסדרת הטלוויזיה המצליחה. חמישה חברים מתיכון בעיירה האמריקאית אנג'ל גרוב מגלים שהעולם עומד בפני סכנה ממשית של פלישת חייזרים. הם נאלצים להניח בצד את בעיות ההתבגרות היומיומיות שלהם כדי להפוך ל""פאוור ריינג'רס"" – קבוצת גיבורי על שתציל את העולם",פאוור ריינג'רס
"['8', '4', '13']","ביאטריצ'ה, אריסטוקרטית שמכירה את כל גדולי איטליה לרבות השופט ששלח אותה לאשפוז, ודונאטלה, צעירה שניסתה להתאבד לאחר שבית המשפט לקח ממנה את בנה, עולות לאוטובוס הלא נכון ומעמידות את איטליה כולה בכוננות",חיים משוגעים
"['4', '6']","מבוסס על הספר המצליח של האנס פאלאדה. ברלין, 1940. אוטו ואנה, זוג ממעמד הפועלים מקבלים יום אחד הודעה על מות בנם היחיד במלחמה. בעקבות הבשורה המרה, הם מחליטים לצאת כנגד המשטר הנאצי בדרך ייחודית - השתלת גלויות אנונימיות בכל רחבי העיר שיוצאות נגד היטלר והמשטר  ...  המשך ...",לבד בברלין
"['3', '7']",סוכנות ממשלתית סודית מגייסת את נבלי העל הגדולים ביותר מעולם הקומיקס לבצע משימות מיוחדות בתמורה לחנינה,יחידת המתאבדים (תלת מימד)
"['8', '2']","טום ברנד הוא מיליארדר נועז אשר הגיע הכי גבוה שניתן בתחומו. אבל אורח החיים המכור לעבודה של טום ניתק אותו ממשפחתו, במיוחד מאשתו לארה ומבתו המעריצה אותו רבקה. לכבוד יום ההולדת ה -11 של רבקה היא מבקשת את המתנה שהיא מבקשת בכל שנה - חתול. טום שונא חתולים, אבל ה ...  המשך ...",מר תשע נשמות (מדובב)
"['3', '7']",סוכנות ממשלתית סודית מגייסת את נבלי העל הגדולים ביותר מעולם הקומיקס לבצע משימות מיוחדות בתמורה לחנינה,יחידת המתאבדים (תלת מימד
"['3', '7']",סוכנות ממשלתית סודית מגייסת את נבלי העל הגדולים ביותר מעולם הקומיקס לבצע משימות מיוחדות בתמורה לחנינה,יחידת המתאבדים (תלת מימד
"['10', '11']","בני משפחת פרג' עלו מעיראק בשנות החמישים חסרי כל. באמצעות עבודה קשה ואחווה הדדית הם טיפסו בסולם ההצלחה, מהמעברה בפתח תקווה אל חנות הצילום המפורסמת בדיזינגוף. אולם, דווקא בשיא ההצלחה, בעיצומה של התקופה הזוהרת ביותר של הצילום, התגלע סכסוך משפחתי אשר הוביל לה ...  המשך ...",פוטו פרג'
"['4', '13']","זוכה פרס חבר השופטים בפסטיבל קאן. לואי, הבן המצליח של המשפחה, שעזב את הבית לפני תריסר שנים, חוזר לראשונה לבית ילדותו כדי להודיע למשפחתו כי הוא עומד למות. אבל האם הם בכלל רוצים לדעת? בין אחותו הקטנה שכמעט אינה זוכרת אותו לפני נסיעתו, אחיו הגדול, האלים והקנ ...  המשך ...",זה רק סוף העולם
"['8', '11']","קובי, שלומי ואסף הם שלושה חברי להקה צבאית הנשכחים בלבנון ערב נסיגת צה""ל מרצועת הביטחון. במהלך המסע שלהם בחזרה הביתה הם מגלים שהופעתם שימשה כהסחה להברחת סמים גדולה בחסות הנסיגה",הלהקה האחרונה בלבנון
['7'],"ברוס וויין מגייס את העזרה של בני ברית חדשים, בהם וונדרוומן, אקווה-מן והפלאש, כדי להילחם באויב מסוכן במיוחד",ליגת הצדק
['7'],סרט המשך בסדרת הסרטים המצליחה. עלילה טרם ידועה,רובוטריקים: האביר האחרון
['3'],"מבוסס על הסיפור הקצר ""סיפורי חייך"" של טד צ'יאנג. כשחלליות מסתוריות נוחתות לפתע במספר נקודות על כדור הארץ, נשלחת קבוצת מדענים וביניהם חוקרת השפה לואיז בנקס לחקור את העצמים הבלתי מזוהים. הנחיתה מביאה את אוכלוסיית כדור הארץ – שלא בטוחה איך להתמודד עם המפגש – ...  המשך ...",המפגש
"['7', '8']","בני צ'אן הוא אחד השוטרים הטובים היחידים שנשארו במשטרת הונג-קונג. משימת חייו היא לרדוף אחר הפושע הערמומי ויקטור וונג. כאשר האחיינית שלו מסתבכת עם כנופייתו של וונג, הוא נחלץ לעזרתה ומאחד כוחות עם מהמר אמריקאי פטפטן שהסתבך עם העולם התחתון",השגחה צמודה
['10'],"סרטו התיעודי החדש של הדוקומנטריסט זוכה האוסקר מייקל מור הוא סאטירה בה מור ""מתגייס"" לפנטגון האמריקאי ונוסע לברר עם מדינות זרות כיצד האומה הגדולה תוכל לגזול את משאביהן הכלכליים",לאן נפלוש עכשיו?
"['2', '16']","רימייק לסרט של דיסני מ-1977. במשך השנים, מר קארבר שימח את הילדים המקומיים בסיפוריו על דרקון אכזרי השוכן עמוק בתוך היערות של מערב האוקיינוס השקט.  לבתו גרייס, העובדת בתור שומרת יערות, הסיפורים האלה הם קצת יותר ממעשיות, עד שהיא פוגשת את פיט, ילד בן 10 מסתור ...  המשך ...",חברי הדרקון אליוט (מדובב)
"['2', '8']","לרייף יש דמיון מפותח מאוד ובעיה עם סמכות, תכונות המפריעות לו כשהוא עובר לחטיבת הביניים בה יש הרבה חוקים נוקשים. ביחד עם חברו הטוב ליאו, הם מתכננים לשבור את כל החוקים של החטיבה. כשמאבקם במנהל מתפוצץ לכדי כאוס - גם בדמיונו של רייף וגם בחיים האמיתיים - רייף  ...  המשך ...",חטיבת הביניים: השנים הגרועות של חיי
"['7', '3', '1']","הסרט החדש ממשיך היכן שהסתיים הפרק הקודם בסדרה. אליס היא הניצולה היחידה של מה שהיה אמור להיות הקרב הסופי של האנושות נגד הזומבים. עכשיו, היא חייבת לחזור למקום שבו הסיוט התחיל – היכן שהתאגיד צובר כוחותיו למכת המחץ נגד הניצולים הבודדים של האפוקליפסה",האויב שבפנים: פרק הסיום
"['16', '2', '15']",קובו מזמן בטעות רוח נקמנית מהעבר ויוצא למסע בעקבות חליפת שריון קסומה שהייתה שייכת לאביו הסמוראי,קובו אגדה של סמוראי (מדובב)
['15'],"גרסה מחודשת לסרט הקלאסי מ-1959. יהודה בן חור, יהודי עשיר שחי בירושלים במאה הראשונה לספירה, מואשם שלא בצדק על ידי חבר ילדותו, הטריבון הרומי מסאלה, בפגיעה בנציב הרומי. לאחר שנים כעבד ולאחר שאימו ואחותו הושלכו לכלא הוא חוזר לנקום במסאלה.",בן-חור (תלת מימד)
"['7', '4']","קבוצת גברים נכלאת בתוך צוללת קטנה לאחר שניסתה לתקן צינור נפט שהתפוצץ. ללא יכולת לתקשר עם החברים על הספינה, הם נאלצים לצאת למאבק בניסיון לשרוד",תחת לחץ
"['4', '13']","סופיה, נערה מקסיקנית תמימה בת 14, מתאהבת בנער בשם יוליסס. הוא מספר לה שהוא שותף בעסקים של משפחתו, אך מה שהיא אינה יודעת הוא שמשפחתו מנהלת קרטל זנות, ושבקרוב היא תישלח בכפייה לעיר אחרת, הרחק ממשפחתה וחייה הקודמים, ותהפוך לזונה. תרגיל העוקץ של יוליסס מסתבך  ...  המשך ...",אחת ויחידה
"['15', '4']","גרסה מחודשת לסרט הקלאסי מ-1959. יהודה בן חור, יהודי עשיר שחי בירושלים במאה הראשונה לספירה, מואשם שלא בצדק על ידי חבר ילדותו, הטריבון הרומי מסאלה, בפגיעה בנציב הרומי. לאחר שנים כעבד ולאחר שאימו ואחותו הושלכו לכלא הוא חוזר לנקום במסאלה באמצעות מירוץ מרכבות  ...  המשך ...",בן-חור (תלת מימד
"['15', '4']","גרסה מחודשת לסרט הקלאסי מ-1959. יהודה בן חור, יהודי עשיר שחי בירושלים במאה הראשונה לספירה, מואשם שלא בצדק על ידי חבר ילדותו, הטריבון הרומי מסאלה, בפגיעה בנציב הרומי. לאחר שנים כעבד ולאחר שאימו ואחותו הושלכו לכלא הוא חוזר לנקום במסאלה באמצעות מירוץ מרכבות  ...  המשך ...",בן חור (תלת מימד
"['8', '13']","איוואן מרגיש נרדף. הוא חושב שהחברה הצרפתית היא אנטישמית ונמאס לו שחבריו אומרים לו שהוא מגזים או שהוא פרנואיד. במהלך סדרת טיפולים פסיכולוגיים הוא חושף כיצד זה מרגיש להיות יהודי צרפתי בימינו, אך גם נחשף לסיפורים קצרים שמטרתם לנטרל, באמצעות הומור שחור ופרוע, ...  המשך ...",היהודים
"['4', '7']",מבוסס על הרומן של פיליפ רות. אמריקה בשנים שלאחר מלחמת העולם השנייה. אב עד להתמוטטות המשפחה שלו ומעמדם החברתי כאשר בתו הופכת לפעילה בארגון פוליטי קיצוני,פסטורליה אמריקנית
"['4', '13']","בצעירותו, עזב שארלי את הכרם המשפחתי והתפרסם כמבקר יין אנין עם קהל מעריצים בינלאומי. כשאביו עומד לאבד את הכרם, הוא חוזר הביתה ומגלה שכדי לייצר את היין הטוב ביותר ולהציל את מורשת משפחתו, עליו להתחבר לאדמה, למשפחה ולאהבות ישנות",בציר ראשון
"['1', '7']","רוקי נחושה להימלט מאמא מתעללת כדי להציל את עצמה ואת אחותה הקטנה. היא ושני חבריה הצליחו לאסוף מספיק כסף בסדרת פריצות על מנת לעזוב את דטרויט. כשהשלישייה מגלה שאדם עיוור הגר בשכונה נטושה מחביא אוצר קטן בביתו, הם מחליטים ללכת על המבצע האחרון והכי גדול שלהם. א ...  המשך ...",לא לנשום
"['7', '4', '13']","מישל, בחורה גרושה וחסרת מעצורים, היא הבעלים של חברת היי-טק מצליחה המפתחת משחקי וידאו. היא מנהלת את חיי האהבה שלה כמו שהיא מנהלת את החברה שבבעלותה – בצורה כוחנית ונטולת פשרות. מישל מתגוררת לבדה בבית מפואר בפרברים וכשזר תוקף אותה בביתה – חייה משתנים. לאחר ש ...  המשך ...",היא
['4'],"ארתור איבד זה עתה את אשתו האהובה, הוא מחליט לטוס ליפן בכדי לסיים את חייו ביער שלמרגלות הר הפוג'י. במעבה היער הוא פוגש בטקומי, גבר יפני עם מטרה דומה לשלו והשניים חוברים יחדיו למסע של הישרדות ותקווה לעתיד טוב יותר",ים של עצים
"['7', '8']","זוג בורגני נורמטיבי, מגלה שלא פשוט להתחרות במשפחת ג'ונס – שכניהם החדשים היפים והמתוחכמים, במיוחד כשהם מגלים שהם סוכנים סמויים",השכנים של ג'ונס
"['3', '7']","המשך לסדרת הסרטים החדשה של מסע בין כוכבים. צוות האנטרפייז בפיקודו של קפטן קירק מותקף על ידי כוח לא ידוע ובלתי ניתן לעצירה של חייזרים שמביא לכך שהם מגיעים לכוכב חדש, שם הם מוצאים את עצמם מול אויב אכזרי",סטארטרק: אל האינסוף (תלת מימד)
"['3', '7']","המשך לסדרת הסרטים החדשה של מסע בין כוכבים. צוות האנטרפייז בפיקודו של קפטן קירק מותקף על ידי כוח לא ידוע ובלתי ניתן לעצירה של חייזרים שמביא לכך שהם מגיעים לכוכב חדש, שם הם מוצאים את עצמם מול אויב אכזרי",סטארטרק: אל האינסוף (תלת מימד
"['3', '7']","המשך לסדרת הסרטים החדשה של מסע בין כוכבים. צוות האנטרפייז בפיקודו של קפטן קירק מותקף על ידי כוח לא ידוע ובלתי ניתן לעצירה של חייזרים שמביא לכך שהם מגיעים לכוכב חדש, שם הם מוצאים את עצמם מול אויב אכזרי",סטארטרק: אל האינסוף (תלת מימד
['8'],"כאשר חברת בת מאיימת לסגור את משרדיה, מחליט המנהל הגדול לערוך מסיבת חברה גדולה לכבוד חג המולד ולזכות דרכה באמונו של לקוח גדול. המסיבה משתבשת וגורלה של החברה כולה עומד בסכנה",מסיבת השנה
"['8', '14']","המשך למעללי קבוצת הא-קפלה ה""ברדן בלאס""",פיץ' פרפקט 3
['4'],"סרטו החדש של מרטין סקורסזה. מסעם הרוחני של שני מיסיונרים נוצריים לרוחב יפן, במאה ה-17 בה הדת הנוצרית הוצאה אל מחוץ לחוק. השניים, שמחפשים אחר המנטור האובד שלהם, חווים במסע אלימות קשה והתעמרות בלתי פוסקת, חמושים אך ורק באמונתם",שתיקה
"['3', '1']","המשך לסרט ""פרומתאוס"", שמתרחש לפני עלילת סרטי ""הנוסע השמיני"". על כוכב לכת בקצה הרחוק של הגלקסיה, צוות ספינת החלל ""קובננט"" מגלה מקום שנראה כמו גן עדן, אך המראה רחוק מלשקף את המציאות המזוויעה שבתוך הכוכב. למעשה מדובר בעולם אפל, מסוכן – שתושבו היחיד הוא דיווי ...  המשך ...",הנוסע השמיני: קובננט
"['7', '3', '15']","בסרט השלישי בסדרה ת'ור כלוא בצד השני של היקום ללא הפטיש שלו ומוצא את עצמו במרוץ נגד הזמן כדי לחזור למקום הולדתו, אסגארד, לעצור את חורבן העולם שלו ולהציל את הציביליזציה מפני בידי איום חדש, רב עוצמה ואכזרי. אבל קודם הוא חייב לשרוד בתחרות גלדיאטורים קטלנית נ ...  המשך ...",תור: ראגנארוק
['7'],ארתור בישופ חשב שעברו כמתנקש מאחוריו אבל כאשר נחטפת חברתו הוא נאלץ לצאת למסע חובק עולם כדי לבצע שלוש התנקשויות ולביים אותן כאילו היו תאונות מקריות,המכונאי 2: התחייה (4DX)
"['8', '9', '11']","סיפורה של מיכל, בחורה בת 32, שחזרה בתשובה לפני 12 שנים ועדיין לא נישאה. לאחר שהיא סוף סוף מוצאת חתן, בעל תשובה נאה, הוא מבטל את החתונה כחודש לפני המועד המיוחל. מיכל מסרבת להתמסר לייאוש ולאכזבה ומחליטה להמשיך בהכנות ולדבוק בתכניתה המקורית",לעבור את הקיר
['7'],אב יחיד מתכנן שוד של הקזינו בו הוא עובד בשביל לממן ניתוח שיציל את חיי בתו. כשהשוד מסתבך הוא נאלץ לחטוף אוטובוס מלא בנוסעים בעוד המשטרה דולקת בעקבותיו,אוטובוס 657
"['16', '2']","ברבי נבחרת להציל את הכוכבים שנמצאים בסכנה. אל ברבי מצטרף פופקורן החתול כשהם נוסעים על הסקייטבורד המעופף לחוויה מסביב לכוכבים.  במהלך המסע ברבי פוגשת חברים חדשים ויצורים על טבעיים וביחד הם מגלים עולם חדש של הרפתקאות, בו לברבי יש רק הזדמנות אחת להציל את הגל ...  המשך ...",ברבי באור הכוכבים (מדובב)
"['4', '17']","סרטו החדש של קלינט איסטווד המבוסס על סיפור אמיתי של נחיתת האונס של מטוס הנוסעים על נהר ההדסון בניו יורק מ-2009. טום הנקס מגלם את הקברניט צ'סלי סולי סולנברגר שהציל חיי 155 נוסעים. בעוד שסאלי רשם הישג חסר תקדים של מיומנות התעופה שהוכר על ידי הציבור והמדיה,  ...  המשך ...",סאלי: נס על ההדסון (IMAX)
"['6', '4', '17']","סיפורו האמיתי של דזמונד דוס, החייל האמריקאי היחיד בהיסטוריה שלחם במערכה צבאית ללא נשק. דוס, סרבן מצפוני שהכיר בצורך לצאת להילחם אך התנגד לקחת חלק בהרג ממשי, הפך לגיבור מלחמת העולם השנייה כאשר הציל במו ידיו את חייהם של 75 חיילים אמריקאים בקרב המדמם על אוקי ...  המשך ...",הסרבן
"['16', '2']","בודי הוא כלב שמירה שאמור להמשיך את דרכו של אביו בשמירת כפר הכבשים. כאשר רדיו נופל מהשמיים ומתוכו בוקע שיר של אגדת רוק, ליבו נפתח לעולם מוזיקלי חדש. בודי מחליט לעזוב את ביתו כדי לרדוף אחרי חלומו בעיר הגדולה. לינוקס, מנהיג חבורת הזאבים, רודף אותו מתוך האמונ ...  המשך ...",כלב מי שמנגן (מדובב)
"['4', '11']","סא""ל דוד גרינבאום השתחרר מהצבא אחרי 27 שנים בשירות קבע. הוא חוזר לביתו ולבני משפחתו מהם היה רחוק שנים ארוכות ומתחיל לעשות את צעדיו הראשונים בחברה האזרחית. אחרי שנים של שהות רחוקה מהבית, הוא מגלה מחדש את משפחתו. את אשתו רינה, מורה לספרות שמפנטזת על חיים מר ...  המשך ...",מעבר להרים ולגבעות
"['1', '4']",אם פונדקאית מפתחת אובססיה לגבי אביה של הילד שבבטנה,כשהענף נשבר
['4'],"זוכה פרס חבר השופטים בפסטיבל קאן. סטאר, נערה צעירה שבאה מרקע של מצוקה, פוגשת בג'ייק ומצטרפת לחבורה של צעירים שנפלטו מהחברה האמריקאית שנוסעים ברחבי ארה""ב ומוכרים מנויים למגזינים. עד מהרה היא נשאבת לסגנון החיים יוצא הדופן של הקבוצה - לילות של שתייה, ימים של ...  המשך ...",אמריקן האני
"['4', '11']","ג'וי לא מצליחה להשתחרר מהאקס שלה, אבל היא גם לא מצליחה באמת להתאהב בבחור החדש, ובינתיים היא לא מפסיקה לשכב עם בחורים שהיא לא מכירה",אנשים שהם לא אני
"['4', '11']","אמא הולכת, בלי לומר מילה, ומותירה את ילדתה בת ה-17 לשרוד את החיים לבד. היא משאירה מאחוריה חובות, בדידות ושברון לב. וכמו להחמיר את המציאות, פורצים לביתה, ומשמידים בו הכל. אלא, שהתהום הנפערת בשל המאורע הזה, שולחת אותה למצוא זהות וחיים איפה שאסור",הפורצת
"['4', '11']","אהרון אביטן, ימאי קשוח, שב הביתה לאשדוד אחר 30 שנה בים. הוא רוצה מאד לשקם את יחסיו עם בתו ולחיות לצד אמו ונכדתו. הוא מתמנה למנהל מחלקת הים בנמל, שוקע בעבודה, ומנסה להיות אבא ובן וסבא טוב משהיה אחרי שנים של ריחוק פיסי ורגשי. אהרון לא בנוי לפשרות ולוויתורים ...  המשך ...",נמל בית
"['4', '11']","אדפטציה עכשווית למשולש היחסים המיתולוגי מספר בראשית, בין אברהם ושרה חשוכי הילדים, להגר הצעירה. שרה היא נגנית נבל בתזמורת פילהרמונית בירושלים, עליה מנצח בעלה אברהם. כשהגר, נגנית קרן יער צעירה ממזרח העיר, מתחברת לבני הזוג,ומציעה להביא עבורם ילד לעולם, מופר  ...  המשך ...",הרמוניה
"['4', '3', '11']","סיפורם של שמונה חברים שמחליטים לבלות את היום האחרון עלי אדמות יחד, במסיבה שקטה בבית. המצב המערער, האלכוהול הנגיש והדינמיקה המורכבת מביאה את החבורה להתמודד עם מהות החיים, עם חרטות כואבות ועם שאיפות שלעולם לא יתגשמו",סופעולם
"['4', '11']","יעל היא צלמת רחוב כבת שלושים, יוצאת קיבוץ אשר נחשפת דרך עדשת המצלמה. היא נוהגת לצלם אנשים ומנסה להבין באמצעות התמונות מי הם ומה הם מסתירים. יעל אמורה להתחתן עם קובי. היא עובדת כמזכירת מערכת של אחד מהעיתונים הגדולים ומנהלת רומן עם העורך הראשי והנשוי. הקלות ...  המשך ...",סנאפשוט
['7'],"רימייק למערבון הקלאסי מ-1960. סיפורם של שבעה אקדוחנים במערב הפרוע, שמתאחדים כדי לסייע לעיירה קטנה במאבקה מול שודדים פראיים.",שבעת המופלאים (4DX)
['7'],"רימייק למערבון הקלאסי מ-1960. סיפורם של שבעה אקדוחנים במערב הפרוע, שמתאחדים כדי לסייע לעיירה קטנה במאבקה מול שודדים פראיים.",שבעת המופלאים (IMAX)
"['4', '9', '11']","1947. פגישה מקרית באוטובוס מציתה בפנינה אהבה ממבט ראשון לעלי בן צבי,  בנו של הנשיא יצחק בן צבי ופלמ""חניק מקיבוץ בית קשת. ההתקרבות בין השניים מלווה בקשיים, אבל מרגלית, המושבניקית מנהלל, נחושה להתקרב אל עלי וכאשר הוא מגלה אותה, פורחת בין השניים אהבה גדולה.  ...  המשך ...",סיפור אהבה ארץ ישראלי
"['4', '11']","נעמי, פסנתרנית קונצרטים תל אביבית, עוברת לירושלים בעקבות משבר אישי ומקצועי, במטרה לבנות את חייה מחדש. אמצעיה המוגבלים מאלצים את נעמי לשכור דירה דווקא בשיכוני קריית היובל המתחרדת. ההרמוניה העדינה בין נעמי לשכניה נסדקת בעקבות מפגש עם פבריציו, נזיר פרנציסקני ...  המשך ...",לב שקט מאוד
"['4', '11']","החיים של אברם, קבלן בנייה ירושלמי, נמצאים על הדרך הנכונה. יש לו בן ואישה שהוא אוהב, הוא סיים לבנות את בית חלומותיו לו ולמשפחה, וגם הקריירה בכיוון הנכון. אך כשתפנית מפתיעה מביאה את העבודה באתר הבנייה שלו לעצירה מוחלטת, אברם מוצא את עצמו מאבד שליטה על העניי ...  המשך ...",חדרי הבית
"['8', '4', '11']","נוני גפן, בן 30, נקרא על על שמו של דודו, אמנון, אשר נהרג במלחמת יום כיפור והיה מוזיקאי שלא זכה להכרה מעולם. חברו הטוב ביותר ושותפו לדירה הוא מוזיקאי המנסה לפרוץ בתל אביב. נוני לוקה בהלם קרב עקב לחימה בעזה. אחרי טיפול פסיכיאטרי ארוך הוא יוצא מזה, אבל הוא מ ...  המשך ...",הכל שבור ורוקד
"['7', '4', '13']","סאם, עיתונאי פריזאי, המנצל את מורשתו המוסלמית כדי לחדור למעגלים האיסלאמיסטים הקיצוניים בפרברי פריז. סאם מוצא עצמו חבר בתא ג'יהאדיסטי, המקבל הוראות מארגון טרור לזרוע הרס בבירה הצרפתית. ככל שהחברים המוסלמים מקצינים, הפחד והסיכון עולים, וסאם מבקש לנטוש את הח ...  המשך ...",תוצרת צרפת
"['4', '11']","השחקנית אלה אדלר, וחברתה הטובה תמי , כבר מזמן תכננו לעשות את שביל ישראל.  בבוקר המסע תמי נכלאת במעלית שמתנתקת מכבליה וצונחת למטה. אלה המומה. בתור החברה הטובה, נדרש ממנה לתמוך באלמן הטרי ולפרסם מודעות אבל, אך היא מתעקשת לצאת למסע שלהן בשביל",הולכת שבעה
"['4', '11']","יהושע, ניצול שואה בן 80, מגלה בוקר אחד שעל גג ביתו הותקנה אנטנה סלולארית. מתברר ששכנו השכיר את החצי שלו בגג המשותף לחברות הסלולר. יהושע חש שנעשה לו עוול נוראי, הוא מאמין שכל תחלואיו וכאביו הרבים הם בגלל הקרינה מהאנטנות, הוא מתחיל לחוש באובססיביות את הקרינ ...  המשך ...",אנטנה
"['4', '9', '11']","אחרי שנדד באירופה תקופה ארוכה, דניאל חוזר אל בית נעוריו שנמצא במושב קטן, אי שם בארץ, חוזר בכדי למצוא את לילה, אשת חייו.  לילה, בעברה מורה לבלט מרותקת למיטתה כבר יותר משלוש שנים. דניאל חוזר בכדי לעשות דבר בלתי נתפס על הדעת, מתוך אהבה",אמור
['1'],"לאחר שהוא מגלה וידאו המראה את אחותו הת'ר שנעלמה, מצטרף ג'יימס לקבוצת חברים לעבר היער בו הם מאמינים שנמצאת המכשפה מבלייר ועימה אחותו האבודה",המכשפה מבלייר
"['4', '8', '13']","זוכה האוסקר האיטלקי לסרט הטוב ביותר. מפגש ארוחת ערב של זוגות חברים הופך למשחק מסוכן, כשהם נענים לאתגר להניח את הסמארטפונים על השולחן, בידיעה שמכאן ואילך כל הודעה ושיחה יהיו גלויים לכל. עד מהרה מסתבכים העניינים, כשהנוכחים מגלים כמה מעט הם באמת יודעים איש ע ...  המשך ...",זרים מושלמים
"['7', '4']","למייק ריגן יש את כל מה שאפשר לבקש: אישה מדהימה, בת יפהפייה, ""בית חכם"" ששווה מליונים וחברת תעופה מוצלחת שנמצאת על סף פיתוח שישנה את עולם התעופה בעולם. כאשר יחסיו עם טכנאי המחשבים שלו, אד, משתבשים הוא מוצא שמשפחתו, עסקיו וחייו בסכנה וכל העוצמה והכסף לא יכול ...  המשך ...",איש הצללים
['4'],"סיפורם של שני האחים למשפחת צ'נדלר – משפחה ממעמד הפועלים האמריקאי המתגוררת במסצ'וסטס. לאחר שג'ו, האח הבכור למשפחה נפטר בפתאומיות, הופך לי, האח הצעיר, לאפוטרופוס של פטריק - בנו היתום של ג'ו. האחריות החדשה מאלצת את לי להתמודד מחדש עם עברו הטראגי ועם הטראומה  ...  המשך ...",מנצ'סטר ליד הים
['4'],"פרסומאי מבריק ומצליח מניו יורק בורח מהמציאות לאחר אירוע טרגי אישי ועמוק, חבריו פוגשים במקרה שלושה אנשים מסתוריים שמעודדים אותו לשכוח את העבר ולחזור לחיות את חייו",יופי נסתר
"['4', '7']","מבוסס על הספר ""טוני וסוזן"". בעלת גלריה לאמנות מקבלת מבעלה לשעבר, איתו  אין לה קשר כבר שנים,  טיוטת רומן שהוא כתב, עליו הוא מבקש ממנה את חוות דעתה. היא צוללת אל תוך סיפור בעל תוכן אלים והרסני, המחייב אותה להתעמת עם עברה ועם החלטותיה הישנות. הסיפור מאלץ אות ...  המשך ...",יצורים ליליים
"['4', '17']","סיפורן של קת'רין ג'ונסון, דורות'י ווהן ומרי ג'קסון – נשים אפרו-אמריקניות מבריקות אשר עבדו בנאס""א והיו המוח מאחורי אחד המבצעים הגדולים בהיסטוריה: השיגור של האסטרונאוט ג'ון גלן לחלל, הישג שטרף את הקלפים במירוץ לחלל והסעיר את העולם",מאחורי המספרים
"['16', '2']","מפה מסתורית שולחת את דרדסית וחבריה הטובים: בר-מוח, בר-כוח וביש-גדא, למירוץ לעמקי היער האסור אשר מלא ביצורים קסומים, על מנת למצוא את היער האבוד המסתורי לפני המכשף הרשע גרגמל. הם יוצאים למסע מלא בהרפתקאות וסכנה על מנת לגלות את הסוד הגדול בתולדות הדרדסים",דרדסים: הכפר האבוד
"['15', '2']","מבוסס על ספר הפנטזיה. ג'ייקוב הנער עוקב אחר רמזים שלוקחים אותו לאי מסתורי בו הוא מגלה את ההריסות של מעונה של מיס פרגרין לילדים משונים. ככל שהוא מעמיק בסיוריו באי, הוא מגלה שיושבי הבית הקודמים היו בעלי כוחות על-טבעיים וייתכן שחלקם עוד בחיים.",המעון של מיס פרגרין לילדים משונים (תלת מימד)
"['16', '2', '8']","פעם חסידות הביאו תינוקות, היום הן מביאות חבילות משלוחים בשם תאגיד אינטרנט ענקי. ג'וניור הוא חסידת המשלוחים הראשית בחברה שעומד לקבל קידום, כשהוא בטעות מפעיל את מכונת ייצור התינוקות ומביא לעולם תינוקת חמודה בניגוד לחוק.",חסידודס (מדובב)
"['7', '4']","מבוסס על הסיפור האמיתי של דליפת הנפט במפרץ מקסיקו, שנחשבת לאסון הסביבתי הגדול ביותר בהיסטוריה. הסרט מגולל את סיפורם של 126 אנשי צוות ששהו על אסדת קידוח הנפט ""Deepwater Horizon"", שביצעה קידוחים במעמקי הים. ב- 20 לאפריל 2010 דליפת הנפט גורמת לפיצוץ קטלני, ל ...  המשך ...",אסון בלב ים (4DX)
